ad_id,name,address,website,phone1
17042,Suzuki - Sydney,"572 Elizabeth Street, Sydney NSW 2000",https://suzuki-sydney.example.com,419552062
53794,Toyota - Melbourne,"252 Station Road, Melbourne VIC 3000",https://toyota-melbourne.example.com,448261322
73954,Toyota - Brisbane,"706 Railway Parade, Brisbane QLD 4000",https://toyota-brisbane.example.com,499151086
74150,Toyota - Perth,"367 George Street, Perth WA 6000",https://toyota-perth.example.com,493783547
87573,Toyota - Adelaide,"85 Park Road, Adelaide SA 5000",https://toyota-adelaide.example.com,464535225
97011,Suzuki - Canberra,"474 Commercial Drive, Canberra ACT 2600",https://suzuki-canberra.example.com,12345
101726,Honda - Darwin,"862 Market Street, Darwin NT 0800",https://honda-darwin.example.com,483240682
135739,Toyota - Hobart,"282 Victoria Road, Hobart TAS 7000",https://toyota-hobart.example.com,413442462
142495,Ford - Gold Coast,"432 Elizabeth Street, Gold Coast QLD 4217",https://ford-gold-coast.example.com,403332022
143308,Ford - Newcastle,"499 Harbour Road, Newcastle NSW 2300",https://ford-newcastle.example.com,422546469
174951,Ford - Wollongong,"202 High Street, Wollongong NSW 2500",https://ford-wollongong.example.com,400265592
182003,Toyota - Geelong,"592 Park Road, Geelong VIC 3220",https://toyota-geelong.example.com,441675202
182298,Toyota - Townsville,"826 Victoria Road, Townsville QLD 4810",https://toyota-townsville.example.com,
183963,Toyota - Cairns,"209 Railway Parade, Cairns QLD 4870",https://toyota-cairns.example.com,463651769
203337,Ford - Toowoomba,"284 Motorway Avenue, Toowoomba QLD 4350",https://ford-toowoomba.example.com,495757684
211394,Toyota - Ballarat,"874 Market Street, Ballarat VIC 3350",https://toyota-ballarat.example.com,494780334
304604,Toyota - Bendigo,"606 Queen Street, Bendigo VIC 3550",https://toyota-bendigo.example.com,401954786
449343,Mitsubishi - Albury,"631 Main Road, Albury NSW 2640",https://mitsubishi-albury.example.com,475629171
449349,Mitsubishi - Launceston,"396 Park Road, Launceston TAS 7250",https://mitsubishi-launceston.example.com,462975066
485640,Toyota - Mackay,"509 Main Road, Mackay QLD 4740",https://toyota-mackay.example.com,460969219
485669,Toyota - Rockhampton,"182 Railway Parade, Rockhampton QLD 4700",https://toyota-rockhampton.example.com,494471872
